{'Number': 10, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1665, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 1666, 'Palindrone': 'Yes', 'Number of processes': 5}
{'Number': 1667, 'Palindrone': 'Yes', 'Number of processes': 9}
{'Number': 1668, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1669, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1670, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1671, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1672, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1673, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1674, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 1676, 'Palindrone': 'Yes', 'Number of processes': 16}
{'Number': 1678, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 1679, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1680, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1681, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1682, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1683, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1684, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1685, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1686, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1687, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1688, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1689, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 1690, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1691, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 1692, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 1693, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 1694, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1695, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1696, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1697, 'Palindrone': 'Yes', 'Number of processes': 5}
{'Number': 1698, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1699, 'Palindrone': 'Yes', 'Number of processes': 6}
{'Number': 1700, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1701, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1702, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1703, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1704, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1705, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1706, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1707, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1708, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1709, 'Palindrone': 'Yes', 'Number of processes': 6}
{'Number': 1710, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1711, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1712, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1713, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1714, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1715, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1716, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1717, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1718, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1719, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 1720, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1721, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1722, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1723, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1724, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1725, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1726, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1727, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1728, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1729, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1730, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1731, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1732, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1733, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1734, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1735, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1736, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1737, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1738, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1739, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1740, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1741, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1742, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1743, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1744, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1745, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1746, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1748, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1749, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1750, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1751, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1752, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1753, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1754, 'Palindrone': 'Yes', 'Number of processes': 7}
{'Number': 1755, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 1756, 'Palindrone': 'Yes', 'Number of processes': 5}
{'Number': 1757, 'Palindrone': 'Yes', 'Number of processes': 9}
{'Number': 1758, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1759, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1760, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1761, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1762, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1763, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1764, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 1766, 'Palindrone': 'Yes', 'Number of processes': 16}
{'Number': 1768, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 1769, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1770, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1771, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 1772, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1773, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1774, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1775, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1776, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1777, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1778, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1779, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 1780, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1781, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 1782, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 1783, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 1784, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1785, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1786, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1787, 'Palindrone': 'Yes', 'Number of processes': 5}
{'Number': 1788, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1789, 'Palindrone': 'Yes', 'Number of processes': 6}
{'Number': 1790, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1791, 'Palindrone': 'Yes', 'Number of processes': 5}
{'Number': 1792, 'Palindrone': 'Yes', 'Number of processes': 17}
{'Number': 1793, 'Palindrone': 'Yes', 'Number of processes': 5}
{'Number': 1794, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1795, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1796, 'Palindrone': 'Yes', 'Number of processes': 5}
{'Number': 1797, 'Palindrone': 'Yes', 'Number of processes': 13}
{'Number': 1798, 'Palindrone': 'Yes', 'Number of processes': 18}
{'Number': 1799, 'Palindrone': 'Yes', 'Number of processes': 6}
{'Number': 1800, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1801, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1802, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1803, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1804, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1805, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1806, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1807, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1808, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1809, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 1810, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1811, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1812, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1813, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1814, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1815, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1816, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1817, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1818, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1819, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1820, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1821, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1822, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1823, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1824, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1825, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1826, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1827, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1828, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1829, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1830, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1831, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1832, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1833, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1834, 'Palindrone': 'Yes', 'Number of processes': 3}
